speaker_id,username,predicted_id,predicted_username,score,correct,gender,age,dialect,micro_make,micro_type,sampling_rate
1337ad,1337ad,20170321,1337ad,0.72885793,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.78539026,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7193886,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.82070136,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.84393626,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.84172356,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.8478383,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.8276024,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.80571157,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.68242836,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.6963089,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.731875,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7069887,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.67650014,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.6975429,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.6848814,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7496717,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7530509,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.79083556,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7390007,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7752456,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.761112,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.8076442,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7916503,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7162977,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.6917256,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7421355,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7294868,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7267625,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7064762,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.79331267,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.69192266,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.783911,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7890902,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.70723045,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.76004237,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7277428,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7381331,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.70366806,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7640879,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.76139355,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.7570329,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.8034724,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.6775837,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.74803144,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.66624165,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
1337ad,1337ad,20170321,1337ad,0.75713104,True,Weiblich,Erwachsener,Westdeutschland,n/a,Tisch-Mikro (USB),48000
