speaker_id,username,predicted_id,predicted_username,score,correct,gender,age,dialect,micro_make,micro_type,sampling_rate
4h,4h,20100505,4h,0.7317841,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.7154951,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.7732138,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.7538867,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.64586115,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.6976043,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.7412585,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,20100505,4h,0.69211054,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
abuisine,abuisine,20130517,abuisine,0.8308295,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
4h,4h,20100505,4h,0.62002826,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
abuisine,abuisine,20130517,abuisine,0.8299703,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.83512366,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.85289186,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8367798,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.843284,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8196538,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.79733175,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.7599599,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8021844,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8175732,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.7896623,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8152244,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.81934464,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.81704044,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8401167,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.8017977,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,20130517,abuisine,0.81598496,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
Agoniste,Agoniste,20130928,Agoniste,0.76470196,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
abuisine,abuisine,20130517,abuisine,0.8284204,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
Agoniste,Agoniste,20130928,Agoniste,0.6944176,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,20130928,Agoniste,0.7848251,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,20130928,Agoniste,0.8082706,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,20130928,Agoniste,0.7358314,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,20130928,Agoniste,0.73592305,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,20130928,Agoniste,0.78336036,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,20130928,Agoniste,0.67461437,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
