speaker,predicted,score,correct,gender,age,dialect,micro_make,micro_type,sampling_rate
4h,4h,0.7538869,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.6458612,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.7317842,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.6976044,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.77321386,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.7154951,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.7412585,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.69211054,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
4h,4h,0.6200284,True,Masculin,Adulte,Français Suisse,n/a,Casque micro,48000
abuisine,abuisine,0.83061314,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8250929,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8256515,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8522128,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.81691813,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8315334,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.84449965,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.7964122,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.7568482,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.7961987,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8146688,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.78793156,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8145229,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.81766915,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.818087,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.83609694,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.7946049,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8231807,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
abuisine,abuisine,0.8123927,True,Masculin,Adulte,Français France,n/a,Casque micro USB,48000
Agoniste,Agoniste,0.76716363,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.697196,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.79169285,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7404009,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.8170707,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.73549414,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
Agoniste,Agoniste,0.7868422,True,Masculin,Adulte,Français Belgique,n/a,Micro de portable,48000
